dataset,term,component,E,P,A
usfullsurveyor2015,intoxicated,modifier,-0.75,-1.12,1.58
usfullsurveyor2015,introspective,modifier,1.57,1.19,-1.16
usfullsurveyor2015,introvert,identity,0,-0.89,-2.45
usfullsurveyor2015,introverted,modifier,0.25,-0.7,-1.82
usfullsurveyor2015,intruder,behavior,-2.5,0.83,0.41
usfullsurveyor2015,intruder,identity,-3.03,0.91,-0.05
usfullsurveyor2015,invalid,identity,-0.77,-1.73,-0.9
usfullsurveyor2015,investigator,identity,1.67,2.01,-0.04
usfullsurveyor2015,invite,behavior,2.42,1.61,0.38
usfullsurveyor2015,irate,modifier,-2.08,0.17,1.39
usfullsurveyor2015,irked,modifier,-2.04,-0.47,0.35
usfullsurveyor2015,irrational,modifier,-2.58,-0.87,1.56
usfullsurveyor2015,irritable,modifier,-1.97,-0.87,0.85
usfullsurveyor2015,irritate,behavior,-2.41,0.39,1.62
usfullsurveyor2015,irritated,modifier,-2.21,-0.56,0.41
usfullsurveyor2015,irritating,modifier,-2.65,0.03,2.17
usfullsurveyor2015,isolate,behavior,-2.74,1.44,-1.48
usfullsurveyor2015,jackass,identity,-2.77,-0.83,2.3
usfullsurveyor2015,jail,behavior,-0.38,2.4,0.96
usfullsurveyor2015,janitor,identity,1.45,-0.87,-0.94
usfullsurveyor2015,jealous,modifier,-2.46,-0.85,0.4
usfullsurveyor2015,jeer,behavior,-2.22,0.11,1.72
usfullsurveyor2015,jerk,identity,-2.63,-0.29,1.8
usfullsurveyor2015,jest,behavior,-0.44,0.28,1.48
usfullsurveyor2015,jew,identity,1.21,0.53,0.14
usfullsurveyor2015,jeweler,identity,0.85,0.65,-0.64
usfullsurveyor2015,jittery,modifier,-0.74,-0.27,2.1
usfullsurveyor2015,job_seeker,identity,1.56,-0.33,0.59
usfullsurveyor2015,jock,identity,0.34,1.76,2.05
usfullsurveyor2015,join,behavior,1.72,1.66,0.53
usfullsurveyor2015,joke_with,behavior,2.31,1.25,1.88
usfullsurveyor2015,jolt,behavior,-1.07,1.07,1.78
usfullsurveyor2015,josh,behavior,0.15,0.39,1.12
usfullsurveyor2015,jostle,behavior,-1.01,0.69,1.51
usfullsurveyor2015,journalist,identity,0.85,1.55,1.02
usfullsurveyor2015,joyful,modifier,3.51,2.87,1.56
usfullsurveyor2015,joyless,modifier,-2.86,-1.6,-2.18
usfullsurveyor2015,jubilant,modifier,2.77,2.2,2.17
usfullsurveyor2015,judge,behavior,-1.83,0.71,0.07
usfullsurveyor2015,judge,identity,1.15,2.53,-0.22
usfullsurveyor2015,junkie,identity,-2.1,-2.04,-0.04
usfullsurveyor2015,juror,identity,0.84,2.37,-1.02
usfullsurveyor2015,jury_foreman,identity,0.47,1.23,0.01
usfullsurveyor2015,juvenile,identity,-0.31,-1.16,1.23
usfullsurveyor2015,kick,behavior,-2.49,0.57,1.88
usfullsurveyor2015,kid,behavior,0.22,0.36,1.25
usfullsurveyor2015,kid,identity,1.39,-1.27,2.2
usfullsurveyor2015,kidnapper,identity,-3.77,1.04,-0.05
usfullsurveyor2015,kill,behavior,-4.26,1.95,-0.11
usfullsurveyor2015,killjoy,identity,-2.36,0.74,-0.06
usfullsurveyor2015,kind,modifier,3.45,3.05,-0.12
usfullsurveyor2015,kindly,modifier,3.24,2.29,-0.04
usfullsurveyor2015,kiss,behavior,2.48,2.33,0.1
usfullsurveyor2015,klutz,identity,-0.84,-1.27,1.36
usfullsurveyor2015,knife,behavior,-3.67,1.62,2.08
usfullsurveyor2015,knock_out,behavior,-2.26,2.32,2.37
usfullsurveyor2015,know_it_all,identity,-1.46,0.28,1.82
usfullsurveyor2015,knowledgeable,modifier,3.22,3.21,0.16
usfullsurveyor2015,kook,identity,-0.21,-0.11,0.87
usfullsurveyor2015,kowtow_to,behavior,-1.05,-1.14,0.48
usfullsurveyor2015,labor_union_leader,identity,0.85,2.14,1.92
usfullsurveyor2015,laborer,identity,1.02,-0.11,0.32
usfullsurveyor2015,lackey,identity,-0.87,-1.59,-0.67
usfullsurveyor2015,lady,identity,1.9,1.06,0.03
usfullsurveyor2015,laid_off_worker,identity,-1.18,-2.02,-1.02
usfullsurveyor2015,landlady,identity,0.08,1.68,0.59
usfullsurveyor2015,landlord,identity,0.14,2,0.67
usfullsurveyor2015,landscape_architect,identity,1.59,1.14,-0.39
usfullsurveyor2015,landscaper,identity,1.29,0.15,0.28
usfullsurveyor2015,laud,behavior,1.19,1.1,1.06
usfullsurveyor2015,laugh_at,behavior,-0.56,0.85,1.99
usfullsurveyor2015,laugh_with,behavior,3.12,2.36,2.43
usfullsurveyor2015,law_student,identity,1.35,1.55,0.17
usfullsurveyor2015,lawyer,identity,0.83,2.63,1.75
usfullsurveyor2015,lay_off_from_a_job,behavior,-1.93,1.85,0.28
usfullsurveyor2015,lazy,modifier,-2.03,-2.1,-2.57
usfullsurveyor2015,lead,behavior,2.02,2.59,0.73
usfullsurveyor2015,leader,identity,2.3,3.03,1.23
usfullsurveyor2015,leave,behavior,-1.84,1.45,-0.2
usfullsurveyor2015,lecture,behavior,0.07,1.24,0.87
usfullsurveyor2015,lecturer,identity,1.29,1.7,0.39
usfullsurveyor2015,leer_at,behavior,-1.29,-0.09,-0.61
usfullsurveyor2015,legislator,identity,-0.07,2.18,0.31
usfullsurveyor2015,lend_money_to,behavior,1.65,1.59,-0.18
usfullsurveyor2015,lenient,modifier,1.1,0.35,-1.06
usfullsurveyor2015,lesbian,identity,0.56,0.09,0.45
usfullsurveyor2015,liar,identity,-2.92,-0.01,0.37
usfullsurveyor2015,liberal,identity,0.76,0.76,1.14
usfullsurveyor2015,liberate,behavior,2.85,2.77,1.15
usfullsurveyor2015,librarian,identity,1.83,-0.28,-2.06
usfullsurveyor2015,library_assistant,identity,1.78,-0.06,-2.02
usfullsurveyor2015,lie_to,behavior,-2.52,0.73,-0.19
usfullsurveyor2015,lift,behavior,1.78,2.42,1.17
usfullsurveyor2015,light_hearted,modifier,1.81,0.92,0.07
usfullsurveyor2015,like,behavior,2.61,1.84,0.39
usfullsurveyor2015,listen_to,behavior,2.92,2.14,-1.61
usfullsurveyor2015,little_brother,identity,1.71,-0.39,1.88
usfullsurveyor2015,little_sister,identity,1.86,-0.41,1.55
usfullsurveyor2015,lively,modifier,2.27,2.04,2.37
usfullsurveyor2015,loafer,identity,-1,-1.36,-1.71
usfullsurveyor2015,loan_shark,identity,-1.94,1.93,1.04
usfullsurveyor2015,loathe,behavior,-2.31,0.05,-0.06
usfullsurveyor2015,lobby_attendant,identity,1.29,-0.4,-0.13
usfullsurveyor2015,lobbyist,identity,0.01,1.53,1.67
usfullsurveyor2015,locksmith,identity,1.16,0.81,-0.27
usfullsurveyor2015,logger,identity,0.7,1.18,0.83
usfullsurveyor2015,lonely,modifier,-2.72,-1.29,-2.52
usfullsurveyor2015,loner,identity,-0.35,-0.85,-2.02
usfullsurveyor2015,lonesome,modifier,-2.37,-1.43,-2.41
usfullsurveyor2015,look_at,behavior,0.84,0.74,-0.39
usfullsurveyor2015,loser,identity,-1.75,-2.57,-1.2
usfullsurveyor2015,lost,modifier,-2.19,-1.36,-0.07
usfullsurveyor2015,louse,identity,-1.42,-0.97,0.2
usfullsurveyor2015,lout,identity,-0.99,-0.34,0.08
usfullsurveyor2015,love,behavior,3.36,3.11,0.65
usfullsurveyor2015,loved,modifier,3.56,3.53,0.46
usfullsurveyor2015,lover,identity,2.76,2.49,0.36
usfullsurveyor2015,lovesick,modifier,-1.55,-0.12,-1.18
usfullsurveyor2015,low,modifier,-2.58,-1.72,-2.27
usfullsurveyor2015,lower_class,modifier,-1.27,-2.03,-0.75
usfullsurveyor2015,loyal,modifier,3.28,2.86,-0.63
usfullsurveyor2015,lucky,modifier,2.66,1.34,0.55
usfullsurveyor2015,lunatic,identity,-2.27,-0.37,1.81
usfullsurveyor2015,lure,behavior,-1.06,1.51,-0.83
usfullsurveyor2015,lust_for,behavior,0.04,1.15,0.63
usfullsurveyor2015,lustful,modifier,-0.37,0.41,0.75
usfullsurveyor2015,machine_operator_in_a_factory,identity,0.94,0.29,1.1
usfullsurveyor2015,machine_repairer,identity,1.36,1.02,0.68
usfullsurveyor2015,mad,modifier,-1.77,-0.17,1.14
usfullsurveyor2015,madman,identity,-2.34,0.64,2.39
usfullsurveyor2015,mafioso,identity,-0.96,1.41,0.33
usfullsurveyor2015,magician,identity,1.13,0.78,1.83
usfullsurveyor2015,maid,identity,1.47,-1,-0.73
usfullsurveyor2015,maiden,identity,0.95,-0.67,-0.63
usfullsurveyor2015,mail_carrier,identity,1.93,0.02,-0.44
usfullsurveyor2015,make_fun_of,behavior,-2.89,0.35,1.67
usfullsurveyor2015,make_love_to,behavior,3.14,2.79,1.08
usfullsurveyor2015,malcontent,identity,-1.46,-0.24,0.18
usfullsurveyor2015,male,identity,0.97,2.01,1.09
usfullsurveyor2015,male,modifier,1.6,1.72,0.97
usfullsurveyor2015,malicious,modifier,-2.9,0.75,0.75
usfullsurveyor2015,malign,behavior,-1.87,0.67,0.52
usfullsurveyor2015,malingerer,identity,-1.5,-0.13,-0.71
usfullsurveyor2015,man,identity,1.1,1.63,0.62
usfullsurveyor2015,manager,identity,1.15,2.61,1.29
usfullsurveyor2015,manager_of_branch_store,identity,1.23,1.42,1.25
usfullsurveyor2015,maniac,identity,-2.04,0.46,2.09
usfullsurveyor2015,maniacal,modifier,-1.69,0.71,1.62
usfullsurveyor2015,manic,modifier,-1.62,-0.75,1.94
usfullsurveyor2015,manipulate,behavior,-2.57,1.65,0.72
usfullsurveyor2015,manipulative,modifier,-2.37,1.5,-0.44
usfullsurveyor2015,marine,identity,2.47,2.69,1.27
usfullsurveyor2015,marine_corps_enlistee,identity,1.77,1.42,1.17
usfullsurveyor2015,marine_corps_officer,identity,1.99,2.58,1.82
usfullsurveyor2015,marine_corps_reservist,identity,1.56,1.67,0.68
usfullsurveyor2015,married,modifier,2.16,2.18,0.31
usfullsurveyor2015,marry,behavior,2.52,2.28,0.21
usfullsurveyor2015,masculine,modifier,1.37,2.15,1.27
usfullsurveyor2015,massage,behavior,2.27,0.92,-1.66
usfullsurveyor2015,mastermind,identity,0.7,2.93,0.72
usfullsurveyor2015,mature,modifier,2.67,2.49,-0.75
usfullsurveyor2015,maverick,identity,0.84,1.3,1.39
usfullsurveyor2015,mayor,identity,1.03,2.02,0.75
usfullsurveyor2015,mean,modifier,-2.75,0.83,1.25
usfullsurveyor2015,mechanical_engineer,identity,1.63,1.69,-0.06
usfullsurveyor2015,medic,identity,2.78,2.62,1.86
usfullsurveyor2015,medicate,behavior,1.37,2.07,-0.43
usfullsurveyor2015,mediocre,modifier,-1.67,-1.75,-1.19
usfullsurveyor2015,meek,modifier,0.21,-0.9,-1.92
usfullsurveyor2015,melancholic,modifier,-1.27,-1.31,-1.99
usfullsurveyor2015,menace,behavior,-2.51,1,1.06
usfullsurveyor2015,menace,identity,-2.51,0.62,1.55
usfullsurveyor2015,mental_case,identity,-1.51,-0.72,0.57
usfullsurveyor2015,mental_patient,identity,-0.54,-1.68,-0.1
usfullsurveyor2015,mentally_ill,modifier,-1.95,-1.66,-0.87
usfullsurveyor2015,mentally_retarded,modifier,-1.03,-1.43,-0.73
usfullsurveyor2015,mentor,identity,3.17,3.06,0.18
usfullsurveyor2015,merchant,identity,0.7,0.51,1.14
usfullsurveyor2015,merry,modifier,2.91,1.87,1.65
usfullsurveyor2015,messy,modifier,-1.81,-0.9,0.98
usfullsurveyor2015,methodical,modifier,1.62,1.28,-1.41
usfullsurveyor2015,methodist,identity,1.17,0.43,-0.1
usfullsurveyor2015,middle_aged,modifier,0.38,0.94,-0.58
usfullsurveyor2015,middle_class,modifier,1.11,0.47,-0.03
usfullsurveyor2015,midget,identity,0.48,-0.75,-0.02
usfullsurveyor2015,migrant_worker,identity,0.79,-0.97,0.1
usfullsurveyor2015,millionaire,identity,0.57,2.5,1.09
usfullsurveyor2015,mimic,behavior,-0.94,-0.5,1.01
usfullsurveyor2015,miner,identity,0.94,-0.13,0.59
usfullsurveyor2015,minister,identity,1.57,1.76,0.26
usfullsurveyor2015,minor,identity,0.3,-1.55,0.9
usfullsurveyor2015,minority,identity,1.01,-0.67,0.11
usfullsurveyor2015,mischievous,modifier,-1.24,0.52,0.06
usfullsurveyor2015,miser,identity,-1.61,-0.7,-1.26
usfullsurveyor2015,miserable,modifier,-2.97,-1.5,-1.69
usfullsurveyor2015,miserly,modifier,-1.81,-0.55,-1.42
usfullsurveyor2015,misinform,behavior,-2.36,0.59,0.42
usfullsurveyor2015,misjudge,behavior,-2.16,0.14,0.52
usfullsurveyor2015,mislead,behavior,-2.38,0.64,0.24
usfullsurveyor2015,miss,behavior,-0.05,0.94,-1.38
usfullsurveyor2015,missionary,identity,2.12,1.41,-0.14
usfullsurveyor2015,mistress,identity,-2.34,-0.35,0.31
usfullsurveyor2015,misunderstand,behavior,-1.56,-0.51,-0.22
usfullsurveyor2015,mobster,identity,-2.45,2.54,1.61
usfullsurveyor2015,mock,behavior,-2.48,-0.01,1.6
usfullsurveyor2015,mocking,modifier,-1.96,0.02,1.2
usfullsurveyor2015,model,modifier,1.77,1.5,0.29
usfullsurveyor2015,modern,modifier,1.22,1.03,1.32
usfullsurveyor2015,modest,modifier,2.27,1.27,-1.47
usfullsurveyor2015,molest,behavior,-4.01,1.2,0.46
usfullsurveyor2015,monitor,behavior,-0.03,1.34,-1.17
usfullsurveyor2015,moody,modifier,-1.77,-0.85,0.34
usfullsurveyor2015,mormon,identity,0.15,-0.28,-0.59
usfullsurveyor2015,moron,identity,-2.06,-2.07,-0.03
usfullsurveyor2015,mortified,modifier,-2.51,-0.78,-0.03
usfullsurveyor2015,mortify,behavior,-2.64,1.52,1.3
usfullsurveyor2015,motel_owner,identity,0.31,0.31,0.11
usfullsurveyor2015,mother,behavior,2.79,2.84,0.18
usfullsurveyor2015,mother,identity,3.05,2.66,0.76
usfullsurveyor2015,mother_in_law,identity,0.92,1.07,1.15
usfullsurveyor2015,mother_in_law_maternal,identity,0.68,1.33,1.2
usfullsurveyor2015,motivated,modifier,3.52,3.22,1.51
usfullsurveyor2015,mourner,identity,-0.15,-1.6,-1.65
usfullsurveyor2015,mournful,modifier,-1.65,-0.02,-2.33
usfullsurveyor2015,mouth_off_to,behavior,-1.98,0.54,2.19
usfullsurveyor2015,moved,modifier,2.57,2.33,-0.54
usfullsurveyor2015,mug,behavior,-3.32,0.89,1.52
usfullsurveyor2015,mugger,identity,-3.47,1.03,1.31
usfullsurveyor2015,mumble_to,behavior,-0.92,-1.7,-2.07
usfullsurveyor2015,murder,behavior,-3.9,2.12,1.08
usfullsurveyor2015,murderer,identity,-3.79,1.71,-0.06
usfullsurveyor2015,murderess,identity,-3.18,1.25,0.22
usfullsurveyor2015,murmur_to,behavior,-0.25,-0.81,-2.17
usfullsurveyor2015,music_director,identity,1.45,1.41,1.27
usfullsurveyor2015,musician,identity,1.77,1.25,1.47
usfullsurveyor2015,muslim,identity,0.67,0.24,-0.11
usfullsurveyor2015,myself_as_i_really_am,identity,2.06,1.14,0.53
usfullsurveyor2015,myself_as_i_would_like_to_be,identity,3.17,2.51,0.91
usfullsurveyor2015,myself_as_others_see_me,identity,2.25,1.22,0.38
usfullsurveyor2015,myself_as_others_would_like_me_to_be,identity,2.2,1.06,0.68
usfullsurveyor2015,nag,behavior,-1.92,-0.29,2.03
usfullsurveyor2015,naive,modifier,-1.24,-1.74,-1.15
usfullsurveyor2015,narrow_minded,modifier,-2.87,-2.02,-0.71
usfullsurveyor2015,nasty,modifier,-2.7,-0.62,0.9
usfullsurveyor2015,nauseated,modifier,-3.2,-1.28,-0.75
usfullsurveyor2015,navy_enlistee,identity,1.66,1.03,1.06
usfullsurveyor2015,navy_officer,identity,1.84,2.44,1.1
usfullsurveyor2015,navy_reservist,identity,1.86,1.5,0.43
usfullsurveyor2015,need,behavior,0.6,0.07,-0.11
usfullsurveyor2015,needle,behavior,-1.7,-0.03,0.32
usfullsurveyor2015,neglect,behavior,-3.13,0.69,-1.33
usfullsurveyor2015,negotiate_with,behavior,2.15,2.31,1.11
usfullsurveyor2015,negotiator,identity,1.9,2.17,0.43
usfullsurveyor2015,neighbor,identity,1.46,0.49,0.07
usfullsurveyor2015,neighborly,modifier,2.82,1.72,-0.03
usfullsurveyor2015,nephew,identity,2.12,0.09,1.54
usfullsurveyor2015,nervous,modifier,-1.42,-0.76,0.18
usfullsurveyor2015,neurotic,identity,-1.17,-0.58,1.52
usfullsurveyor2015,neurotic,modifier,-1.6,-0.52,1.27
usfullsurveyor2015,newcomer,identity,0.74,-0.96,-0.89
usfullsurveyor2015,newlywed,identity,2.13,1.45,1.6
usfullsurveyor2015,newscaster,identity,0.84,1.6,2.1
usfullsurveyor2015,nice,modifier,3.26,2.53,-0.09
usfullsurveyor2015,niece,identity,1.95,-0.1,0.67
usfullsurveyor2015,night_watchman,identity,1.56,1.18,-1.33
usfullsurveyor2015,ninny,identity,-1.35,-2,-0.78
usfullsurveyor2015,nitwit,identity,-1.63,-1.82,-0.11
usfullsurveyor2015,no_emotion,modifier,-1.9,-1.15,-2.78
usfullsurveyor2015,noble,modifier,2.92,2.48,-0.12
usfullsurveyor2015,nobody,identity,-0.48,-2.77,-2.29
usfullsurveyor2015,noisy,modifier,-1.08,0.37,3.05
usfullsurveyor2015,non_smoker,identity,2.07,1.27,-0.16
usfullsurveyor2015,nonchalant,modifier,0.36,0.08,-1.65
usfullsurveyor2015,nonconformist,identity,0.68,0.76,0.69
usfullsurveyor2015,nosey,modifier,-1.8,-0.65,0.81
usfullsurveyor2015,nostalgic,modifier,0.7,0.46,-1.47
usfullsurveyor2015,notice,behavior,2.09,1.49,-0.13
usfullsurveyor2015,novice,identity,-0.08,-1.59,-0.74
usfullsurveyor2015,nudge,behavior,-0.04,0.1,0.1
usfullsurveyor2015,nurse,identity,2.84,1.75,0.53
usfullsurveyor2015,nursing_assistant,identity,2.32,0.94,0.38
usfullsurveyor2015,nut,identity,-0.01,-0.74,0.38
usfullsurveyor2015,nutritionist,identity,2.3,1.2,0.16
usfullsurveyor2015,nuzzle,behavior,1.34,0.29,-1.12
usfullsurveyor2015,obedient,modifier,1.52,-0.38,-1.15
usfullsurveyor2015,obey,behavior,0.91,-0.2,-0.9
usfullsurveyor2015,obligated,modifier,-0.62,0.38,-0.18
usfullsurveyor2015,oblivious,modifier,-2.09,-1.87,-1.6
usfullsurveyor2015,obnoxious,modifier,-2.67,0.1,2.35
usfullsurveyor2015,observe,behavior,0.74,0.64,-1.74
usfullsurveyor2015,obsessive_compulsive,modifier,-1.44,-0.83,0.89
usfullsurveyor2015,obstinate,modifier,0.02,0.67,0.09
usfullsurveyor2015,obstruct,behavior,-1.66,1.24,0.92
usfullsurveyor2015,oddball,identity,0.24,-0.54,0
usfullsurveyor2015,offend,behavior,-2.34,0.76,1.11
usfullsurveyor2015,offended,modifier,-2.4,-0.61,0.18
usfullsurveyor2015,offender,identity,-2.37,0.54,1.22
usfullsurveyor2015,offensive,modifier,-2.5,0.04,1.26
usfullsurveyor2015,ogle,behavior,-0.81,-0.13,-0.14
usfullsurveyor2015,old,modifier,0.55,0.62,-1.83
usfullsurveyor2015,old_fashioned,modifier,0.61,0.26,-1.49
usfullsurveyor2015,old_geezer,identity,0.28,-0.75,-1.8
usfullsurveyor2015,old_man,identity,1.4,-0.56,-2.05
usfullsurveyor2015,online_merchant,identity,0.8,0.86,0.25
usfullsurveyor2015,onlooker,identity,-0.02,-0.82,-1.23
usfullsurveyor2015,open,modifier,2.11,1.86,0.36
usfullsurveyor2015,open_minded,modifier,3.16,2.84,0.03
usfullsurveyor2015,ophthalmologist,identity,1.6,1.43,-0.34
usfullsurveyor2015,opponent,identity,-0.19,1.17,1.01
usfullsurveyor2015,opportunist,identity,1.27,2.07,1.61
usfullsurveyor2015,opportunistic,modifier,2.31,2.19,1.33
usfullsurveyor2015,oppose,behavior,-0.13,1.56,0.99
usfullsurveyor2015,oppress,behavior,-3.23,1.91,0.29
usfullsurveyor2015,optical_engineer,identity,1.56,1.25,-0.45
usfullsurveyor2015,optimist,identity,2.83,2.38,1.2
usfullsurveyor2015,optimistic,modifier,2.91,2.57,0.91
usfullsurveyor2015,order,behavior,-0.82,1.83,1.46
usfullsurveyor2015,ordinary,modifier,-0.46,-1.03,-1.37
usfullsurveyor2015,organized,modifier,2.85,2.22,-0.61
usfullsurveyor2015,organizer,identity,2.07,1.68,0.48
usfullsurveyor2015,original,modifier,2.82,2.5,0.22
usfullsurveyor2015,orphan,identity,0,-1.98,-1.14
usfullsurveyor2015,ostentatious,modifier,-0.55,0.78,1.45
usfullsurveyor2015,ostracize,behavior,-2.73,1.09,0.53
usfullsurveyor2015,outdo,behavior,0.61,1.66,1.19
usfullsurveyor2015,outgoing,modifier,2.18,2.1,2.19
usfullsurveyor2015,outlaw,identity,-1.75,0.58,0.83
usfullsurveyor2015,outrage,modifier,-1.61,1.04,2.3
usfullsurveyor2015,outraged,modifier,-1.71,0.44,2.28
usfullsurveyor2015,outsider,identity,0.03,-0.94,-0.73
usfullsurveyor2015,outspoken,modifier,0.98,2.01,2.07
usfullsurveyor2015,outwit,behavior,1.08,1.92,1.05
usfullsurveyor2015,overbearing,modifier,-1.99,0.92,1.24
usfullsurveyor2015,overcharge,behavior,-2.77,0.62,0.27
usfullsurveyor2015,overconfident,modifier,-1.07,0.53,1.7
usfullsurveyor2015,overjoyed,modifier,3.1,2.71,2.43
usfullsurveyor2015,overlook,behavior,-1.95,0.18,-0.65
usfullsurveyor2015,overwhelm,behavior,-1.02,1.59,1.81
usfullsurveyor2015,overwhelmed,modifier,-2.53,-0.33,1.41
usfullsurveyor2015,overwork,behavior,-2.1,1.21,1.16
usfullsurveyor2015,pacify,behavior,0.89,1.17,-0.84
usfullsurveyor2015,pagan,identity,-0.49,-0.34,0.1
usfullsurveyor2015,pal,identity,2.75,1.69,0.8
usfullsurveyor2015,pamper,behavior,1.18,1.25,-0.1
usfullsurveyor2015,panicked,modifier,-2.32,-1.22,2.1
usfullsurveyor2015,paranoid,identity,-1.25,-1.38,0.56
usfullsurveyor2015,paranoid,modifier,-2.4,-0.65,0.24
usfullsurveyor2015,parent,identity,2.55,3.06,0.96
usfullsurveyor2015,parking_attendant,identity,0.29,-0.29,-0.4
usfullsurveyor2015,parody,behavior,-0.01,0.8,1.46
usfullsurveyor2015,parolee,identity,-0.62,-0.71,0.21
usfullsurveyor2015,part_time_employee,identity,0.93,-0.61,-0.03
usfullsurveyor2015,partner,identity,2.31,1.53,0.42
usfullsurveyor2015,passenger,identity,0.64,-0.63,-0.09
usfullsurveyor2015,passer_by,identity,0.29,-0.63,-0.54
usfullsurveyor2015,passionate,modifier,2.69,2.7,1.7
usfullsurveyor2015,passive,modifier,-0.75,-1.27,-1.9
usfullsurveyor2015,pastor,identity,1.89,2.31,0.72
usfullsurveyor2015,patient,identity,0.57,-1.49,-1.28
usfullsurveyor2015,patient,modifier,2.73,2.18,-2.05
usfullsurveyor2015,patriot,identity,1.69,1.59,1.54
usfullsurveyor2015,patrolman,identity,1.01,1.24,0.33
usfullsurveyor2015,patronize,behavior,-1.77,0.31,0.91
usfullsurveyor2015,pawnbroker,identity,-0.39,0.42,0.95
usfullsurveyor2015,pay,behavior,1.95,1.84,0.09
usfullsurveyor2015,pay_for,behavior,1.93,1.77,-0.15
usfullsurveyor2015,peaceful,modifier,3.31,2.44,-1.74
usfullsurveyor2015,pedestrian,identity,0.66,-0.56,-0.54
usfullsurveyor2015,pediatrician,identity,3.01,2.52,0.53
usfullsurveyor2015,peek_at,behavior,-1.32,-0.47,-0.88
usfullsurveyor2015,peep_at,behavior,-2.19,-1.09,-1.5
usfullsurveyor2015,peer,identity,1.8,0.77,0.4
usfullsurveyor2015,peeved,modifier,-1.76,-0.4,0.31
usfullsurveyor2015,penalize,behavior,-0.49,1.79,0.41
usfullsurveyor2015,pensive,modifier,1.44,0.98,-1.85
usfullsurveyor2015,pentecostal,identity,0.47,0.18,0.53
usfullsurveyor2015,perceptive,modifier,2.39,2.23,-0.47
usfullsurveyor2015,permissive,modifier,-0.22,-0.67,-0.94
usfullsurveyor2015,persecute,behavior,-1.68,1.57,0.88
usfullsurveyor2015,persecuted,modifier,-2.6,-0.28,0.55
usfullsurveyor2015,persistent,modifier,1.91,2.05,1.23
usfullsurveyor2015,person,identity,0.93,0.95,0.35
usfullsurveyor2015,persuade,behavior,0.82,1.96,0.63
usfullsurveyor2015,persuasive,modifier,1.41,2.54,0.81
usfullsurveyor2015,pessimist,identity,-1.88,-0.89,-0.77
usfullsurveyor2015,pessimistic,modifier,-1.91,-0.7,-0.46
usfullsurveyor2015,pest,identity,-2.41,-0.03,1.73
usfullsurveyor2015,pester,behavior,-2.15,0.21,1.72
usfullsurveyor2015,pet,behavior,0.28,0.28,-0.59
usfullsurveyor2015,petrified,modifier,-2.68,-1.13,0.2
usfullsurveyor2015,petty,modifier,-1.52,-0.94,0.3
usfullsurveyor2015,pharmacist,identity,2.09,1.38,-0.42
usfullsurveyor2015,philanthropist,identity,2.56,1.98,0.28
usfullsurveyor2015,philosopher,identity,1.47,0.89,-1.03
usfullsurveyor2015,phobic,modifier,-2.23,-1.6,0.39
usfullsurveyor2015,phony,identity,-2.93,-1.75,0.99
usfullsurveyor2015,photograph,behavior,1.15,1.03,-0.08
usfullsurveyor2015,photographer,identity,1.68,1.2,-0.68
usfullsurveyor2015,physician,identity,2.41,2.35,-0.04
usfullsurveyor2015,physicist,identity,1.6,1.41,-0.43
usfullsurveyor2015,pickpocket,identity,-2.95,0.43,-0.26
usfullsurveyor2015,pimp,identity,-3.03,1.54,1.56
usfullsurveyor2015,pitiful,modifier,-2.18,-2.22,-1.86
usfullsurveyor2015,pity,behavior,-0.44,-0.08,-1.1
usfullsurveyor2015,placate,behavior,0.65,0.86,-0.93
usfullsurveyor2015,placid,modifier,0.04,-0.56,-1.56
usfullsurveyor2015,plain,modifier,-0.51,-1.16,-1.56
usfullsurveyor2015,plaintiff,identity,0.17,0.65,0.22
usfullsurveyor2015,play_with,behavior,2.54,1.64,1.68
usfullsurveyor2015,playboy,identity,-1.04,0.46,1.96
usfullsurveyor2015,playful,modifier,2.26,0.68,1.92
usfullsurveyor2015,please,behavior,2.39,1.68,0.16
usfullsurveyor2015,pleased,modifier,3.05,2.23,0.08
usfullsurveyor2015,plot_against,behavior,-2.49,0.7,-0.82
usfullsurveyor2015,plumber,identity,1.51,0.39,-0.11
usfullsurveyor2015,poised,modifier,1.58,1.41,-0.81
usfullsurveyor2015,poison,behavior,-3.6,1.48,-0.75
usfullsurveyor2015,police_officer,identity,1.05,2.49,1.43
usfullsurveyor2015,policeman,identity,0.91,2.29,1.3
usfullsurveyor2015,policewoman,identity,1.29,1.95,1.34
usfullsurveyor2015,polite,modifier,3.41,2.27,-0.84
usfullsurveyor2015,political_scientist,identity,0.81,0.86,0.3
usfullsurveyor2015,politician,identity,-0.85,2.08,1.44
usfullsurveyor2015,pompous,modifier,-1.77,0.17,1.56
usfullsurveyor2015,pooh_pooh,behavior,-1.37,-0.21,0.47
usfullsurveyor2015,poor,modifier,-2.24,-2.3,-1.51
usfullsurveyor2015,popular,modifier,1.28,1.94,1.77
usfullsurveyor2015,pornographer,identity,-1.26,0.51,0.92
usfullsurveyor2015,poser,identity,-1.99,-1.73,0.36
usfullsurveyor2015,possessive,modifier,-1.51,0.46,1.01
usfullsurveyor2015,pothead,identity,-0.8,-1.39,-1.88
usfullsurveyor2015,powerful,modifier,1.82,3.53,1.69
usfullsurveyor2015,powerless,modifier,-2.58,-3.26,-1.83
usfullsurveyor2015,practical,modifier,2.13,1.7,-0.22
